#Data tag : 24v2 , Norm tag: onlineresult
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 382229:9806 | 06/20/24 09:39:20 | 305  | 305  | 23396183.022260584  | 22099763.535307359  |
| 382250:9808 | 06/20/24 16:24:45 | 889  | 889  | 224614056.789428174 | 215273486.510325402 |
| 382255:9810 | 06/21/24 04:47:31 | 95   | 95   | 29923178.655538425  | 28325411.083875272  |
| 382256:9810 | 06/21/24 05:26:51 | 67   | 67   | 31184296.725508600  | 27662213.883577354  |
| 382257:9810 | 06/21/24 06:11:04 | 70   | 70   | 32581588.930822495  | 29028350.586040996  |
| 382258:9810 | 06/21/24 06:41:16 | 1147 | 1147 | 500147987.875029802 | 479565829.738654971 |
| 382262:9810 | 06/21/24 14:31:56 | 252  | 252  | 79217380.738758683  | 76707487.538376346  |
| 382298:9812 | 06/21/24 19:39:36 | 53   | 53   | 14820672.415701995  | 14372868.754521860  |
| 382299:9812 | 06/21/24 20:38:10 | 806  | 806  | 384824423.966711879 | 356406153.861998200 |
| 382300:9812 | 06/22/24 01:55:26 | 1185 | 1185 | 383588242.947403789 | 371889145.964048684 |
| 382313:9813 | 06/22/24 11:50:52 | 389  | 389  | 174770704.309084713 | 166394989.220925301 |
| 382314:9813 | 06/22/24 14:26:00 | 295  | 295  | 141772079.053221822 | 134389798.780249119 |
| 382328:9816 | 06/22/24 22:38:19 | 88   | 88   | 33093419.611495677  | 31070625.281624347  |
| 382329:9816 | 06/22/24 23:16:37 | 150  | 150  | 72058688.888289794  | 67791210.122688606  |
| 382343:9819 | 06/23/24 13:01:16 | 2202 | 2202 | 985051967.160386443 | 930640135.782363772 |
| 382344:9819 | 06/24/24 03:22:08 | 355  | 355  | 129243916.772290051 | 124754533.041793898 |
| 382504:9832 | 06/27/24 14:22:09 | 349  | 349  | 153585642.825524181 | 145411700.487652242 |
| 382568:9838 | 06/28/24 23:55:16 | 398  | 398  | 181575481.547872692 | 171521928.544380367 |
| 382580:9840 | 06/29/24 07:43:51 | 1709 | 1709 | 721491871.769473910 | 688566560.818004012 |
| 382594:9842 | 06/30/24 02:29:05 | 1405 | 1405 | 626658179.843461633 | 596593096.546729684 |
| 382595:9842 | 06/30/24 11:37:12 | 853  | 853  | 258704872.270473689 | 251079289.062789530 |
| 382617:9843 | 06/30/24 19:33:03 | 701  | 701  | 308269482.801421523 | 294167045.299165964 |
