#Data tag : 24v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
+-------------+-------------------+------+------+---------------------+---------------------+
| 362437:8456 | 11/21/22 11:53:12 | 31   | 31   | 11425236.128613001  | 9694181.762079133   |
| 362439:8456 | 11/21/22 13:08:41 | 1374 | 1374 | 524904774.371304035 | 502276368.745038152 |
| 362597:8471 | 11/23/22 21:16:31 | 139  | 139  | 59257947.449552126  | 57163564.417164251  |
| 362614:8474 | 11/24/22 06:40:41 | 153  | 153  | 68667623.190661147  | 63748412.122665085  |
| 362615:8474 | 11/24/22 07:43:24 | 149  | 149  | 70904542.667794093  | 65814765.559511967  |
| 362616:8474 | 11/24/22 08:45:49 | 350  | 350  | 168042103.791407317 | 157107672.894665509 |
| 362617:8474 | 11/24/22 11:07:17 | 244  | 244  | 113066485.636310011 | 106995981.199068487 |
| 362618:8474 | 11/24/22 12:44:47 | 270  | 270  | 104715030.841626763 | 98215589.695999607  |
| 362653:8484 | 11/25/22 07:53:12 | 266  | 266  | 107123759.843416318 | 101242435.786470741 |
| 362654:8484 | 11/25/22 09:39:58 | 26   | 26   | 11385880.135124693  | 10528115.845352318  |
| 362655:8484 | 11/25/22 10:00:15 | 333  | 333  | 146725174.295789719 | 139431689.219253659 |
| 362657:8484 | 11/25/22 12:32:34 | 198  | 198  | 83029769.006633967  | 79752428.178348303  |
| 362695:8489 | 11/26/22 00:41:34 | 334  | 334  | 135364511.759741306 | 127469338.883705184 |
| 362696:8489 | 11/26/22 02:52:10 | 1711 | 1711 | 603706238.498514771 | 579533040.064601660 |
| 362698:8489 | 11/26/22 14:10:13 | 374  | 374  | 82621431.127676144  | 79809995.972651735  |
| 362720:8491 | 11/26/22 22:59:02 | 898  | 898  | 369372552.548625171 | 352423699.661014915 |
| 362727:8491 | 11/27/22 05:16:11 | 4    | 4    | 1588615.364942756   | 1404177.885900929   |
| 362728:8491 | 11/27/22 05:21:34 | 388  | 388  | 149172259.226775825 | 142174376.853267133 |
| 362757:8496 | 11/27/22 22:14:46 | 62   | 62   | 21143739.882921457  | 19328673.904037081  |
| 362758:8496 | 11/27/22 22:43:06 | 205  | 205  | 86318959.769289598  | 81789849.831040755  |
| 362760:8496 | 11/28/22 00:16:05 | 728  | 728  | 292706731.956719816 | 279518702.154164255 |
+-------------+-------------------+------+------+---------------------+---------------------+
#Summary: 
+-------+------+------+------+----------------------+----------------------+
| nfill | nrun | nls  | ncms | totdelivered(/ub)    | totrecorded(/ub)     |
+-------+------+------+------+----------------------+----------------------+
| 7     | 21   | 8237 | 8237 | 3211243367.493440151 | 3055423060.636001587 |
+-------+------+------+------+----------------------+----------------------+
#Check JSON:
#(run,ls) in json but not in results: []
